kind	sourceRegion	sourceRoom	destRegion	destRoom
WarpPoint	warb	warb_f01	WARE	ware_h21
WarpPoint	warb	warb_f18	WARC	WARC_B12
WarpPoint	warb	warb_j08	NULL	NULL
WarpPoint	warc	warc_b07	NULL	NULL
WarpPoint	warc	warc_b12	WARB	warb_f18
WarpPoint	warc	warc_e11	WVWB	wvwb_e01
WarpPoint	ward	ward_b41	WSKD	wskd_b42
WarpPoint	ward	ward_e01	WARG	warg_d06_future
WarpPoint	ward	ward_e09	NULL	NULL
WarpPoint	ward	ward_e12	WMPA	wmpa_c07
WarpPoint	ward	ward_e33	WSKC	wskc_a10
WarpPoint	ward	ward_r10	WSSR	wssr_cramped
WarpPoint	ware	ware_g15	NULL	NULL
WarpPoint	ware	ware_h16	WTDA	wtda_b16
WarpPoint	ware	ware_h21	WARB	warb_f01
WarpPoint	warf	warf_a06	WSKA	wska_d13
WarpPoint	warf	warf_b11	WRFA	wrfa_f01
WarpPoint	warf	warf_b14	WSKB	wskb_c18
WarpPoint	warf	warf_d06	WSKD	wskd_b38
WarpPoint	warf	warf_d15	NULL	NULL
WarpPoint	warf	warf_d30	WMPA	wmpa_a09
WarpPoint	warg	warg_a06_future	WTDB	wtdb_a04
WarpPoint	warg	warg_b31	WTDA	wtda_a13
WarpPoint	warg	warg_d06_future	WARD	ward_e01
WarpPoint	warg	warg_h20	NULL	NULL
WarpPoint	warg	warg_w11	WSKD	wskd_b12
WarpPoint	wbla	wbla_b08	WMPA	wmpa_d09
WarpPoint	wbla	wbla_j01	NULL	NULL
WarpPoint	wdsr	wdsr_a25	NULL	NULL
WarpPoint	wgwr	wgwr_c09	NULL	NULL
WarpPoint	wgwr	wgwr_disposal	NULL	NULL
WarpPoint	whir	whir_a06	NULL	NULL
WarpPoint	whir	whir_a22	NULL	NULL
WarpPoint	whir	whir_b13	NULL	NULL
WarpPoint	wmpa	wmpa_a09	WARF	warf_d30
WarpPoint	wmpa	wmpa_c06	NULL	NULL
WarpPoint	wmpa	wmpa_c07	WARD	ward_e12
WarpPoint	wmpa	wmpa_d09	WBLA	wbla_b08
WarpPoint	wora	wora_egg04	WORA	wora_dial
WarpPoint	wora	wora_starcatcher03	WRSA	WRSA_C01
WarpPoint	wpga	wpga_a02	NULL	NULL
WarpPoint	wpga	wpga_b08	WRFA	wrfa_a21
WarpPoint	wpga	wpga_b10	WSKA	wska_n04
WarpPoint	wpga	wpga_e01	WSKD	wskd_b01
WarpPoint	wpta	wpta_c05	NULL	NULL
WarpPoint	wpta	wpta_c07	WVWA	wvwa_h01
WarpPoint	wrfa	wrfa_a21	WPGA	wpga_b08
WarpPoint	wrfa	wrfa_b09	NULL	NULL
WarpPoint	wrfa	wrfa_d08	WRRA	wrra_b01
WarpPoint	wrfa	wrfa_f01	WARF	warf_b11
WarpPoint	wrfb	wrfb_b12	WVWA	wvwa_e01
WarpPoint	wrfb	wrfb_c07	NULL	NULL
WarpPoint	wrra	wrra_a07	WSKB	wskb_c07
WarpPoint	wrra	wrra_a26	WTDB	wtdb_a19
WarpPoint	wrra	wrra_b01	WRFA	wrfa_d08
WarpPoint	wrra	wrra_l01	NULL	NULL
WarpPoint	wrsa	wrsa_c01	WORA	wora_starcatcher03
WarpPoint	wrsa	wrsa_d01	WARA	WARA_P17
WarpPoint	wska	wska_d07	NULL	NULL
WarpPoint	wska	wska_d13	WARF	warf_a06
WarpPoint	wska	wska_n04	WPGA	wpga_b10
WarpPoint	wskb	wskb_c07	WRRA	wrra_a07
WarpPoint	wskb	wskb_c18	WARF	warf_b14
WarpPoint	wskb	wskb_n01	NULL	NULL
WarpPoint	wskc	wskc_a10	WARD	ward_e33
WarpPoint	wskc	wskc_a25	NULL	NULL
WarpPoint	wskd	wskd_b01	WPGA	wpga_e01
WarpPoint	wskd	wskd_b12	WARG	warg_w11
WarpPoint	wskd	wskd_b34	NULL	NULL
WarpPoint	wskd	wskd_b38	WARF	warf_d06
WarpPoint	wskd	wskd_b42	WARD	ward_b41
WarpPoint	wssr	wssr_lab6	WORA	NULL
WarpPoint	wsur	wsur_b09	NULL	NULL
WarpPoint	wtda	wtda_a13	WARG	warg_b31
WarpPoint	wtda	wtda_b16	WARE	ware_h16
WarpPoint	wtda	wtda_z07	NULL	NULL
WarpPoint	wtdb	wtdb_a03	NULL	NULL
WarpPoint	wtdb	wtdb_a04	WARG	warg_a06_future
WarpPoint	wtdb	wtdb_a19	WRRA	wrra_a26
WarpPoint	wvwa	wvwa_a09	NULL	NULL
WarpPoint	wvwa	wvwa_e01	WRFB	wrfb_b12
WarpPoint	wvwa	wvwa_h01	WPTA	wpta_c07
WarpPoint	wvwb	wvwb_b02	NULL	NULL
WarpPoint	wvwb	wvwb_e01	WARC	warc_e11
Echo	lf	lf_b01w	WRFA	wrfa_sk04
Echo	wara	wara_p09	NULL	NULL
Echo	warb	warb_j01	WARA	wara_p05
Echo	warc	warc_f01	WARA	wara_e08
Echo	ware	ware_i14	WSKC	wskc_a03
Echo	warf	warf_b33	WTDA	wtda_b12
Echo	waua	waua_bath	SB	sb_d07
Echo	waua	waua_toys	NULL	NULL
Echo	wbla	wbla_d03	WVWB	wvwb_b05
Echo	wpta	wpta_f03	WARA	wara_p08
Echo	wrfb	wrfb_a22	WARE	ware_i01x
Echo	wskc	wskc_a23	WPTA	WPTA_B10
Echo	wtda	wtda_z14	WBLA	wbla_c01
Echo	wtdb	wtdb_a26	WRFB	wrfb_d09
Echo	wvwa	wvwa_f03	WARC	warc_c12
Echo	wvwb	wvwb_a04	WARD	ward_r15
